Activity,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_min,acc_rh_x_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_min,acc_rh_y_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_min,acc_rh_z_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_min,gyro_rh_x_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_min,gyro_rh_y_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_min,gyro_rh_z_std
circle,0.35414,1.6895,1.006065859375,1.0072299999999998,1.6895,0.20892088552520655,0.2450675,0.61452,0.06781781249999999,0.039675,0.61452,0.1579899853280734,0.0859975,0.42067,0.27109953125,0.26416999999999996,0.42067,0.06831667583141962,17.695014999999994,86.12323,-8.534692265625,-10.36485,86.12323,15.745738077953785,30.2667325,78.58516,0.994533828125,-0.724815,78.58516,18.880071880786808,32.021542499999995,42.45888,1.0757178906249996,1.922665,42.45888,25.093432385150646
circle,0.3372974999999999,1.6895,0.98519859375,0.986115,1.6895,0.21083362825391486,0.26197750000000003,0.61452,0.087330546875,0.0658,0.61452,0.17529829397125396,0.06787499999999996,0.38722,0.24670625,0.24915,0.38722,0.05876690121254481,16.88055,86.12323,-5.2728478124999985,-8.70922,86.12323,14.589284137934936,32.7292,78.58516,-1.218654140625,-2.189705,78.58516,19.3325020492951,33.658100000000005,51.93487,4.406467734374999,6.057925,51.93487,24.369022212607252
circle,0.3411375000000001,1.3769999999999998,1.0190549999999998,1.0408,1.3769999999999998,0.20651052826142424,0.2891375,0.53883,0.09180734375,0.10107999999999999,0.53883,0.1951576456975087,0.07336999999999996,0.46852,0.25333234375,0.25000500000000003,0.46852,0.06444805844006735,20.3825425,61.60924,-7.742879609375,-5.695515,61.60924,19.72554491707384,27.97403,36.18732,-1.554357890625,-2.67037,36.18732,16.808182471039206,33.8068775,79.91272,1.0398946875,-4.11618,79.91272,25.281862546383824
circle,0.34919250000000024,1.3769999999999998,0.99112109375,0.9785450000000001,1.3769999999999998,0.19180980930922487,0.27405250000000003,0.53883,0.08193828125,0.07434500000000001,0.53883,0.18382163655935171,0.07794500000000001,0.46852,0.248613359375,0.24134,0.46852,0.06513204899804205,18.80513,61.60924,-6.363586015625,-3.7499599999999997,61.60924,19.548605047735077,29.654459999999997,36.18732,0.13047859374999993,-1.5488149999999998,36.18732,15.460336073254409,34.4706575,79.91272,1.38024703125,-1.28941,79.91272,23.378780793983932
circle,0.3606700000000001,1.4199700000000002,1.006315859375,0.98135,1.4199700000000002,0.2027415778788948,0.307385,0.51442,0.10219890625,0.14075,0.51442,0.19996450063946647,0.10272749999999996,0.43776,0.2433828125,0.22889,0.43776,0.07036061970015503,22.1316375,52.33162,-7.787703359375,-4.505294999999999,52.33162,20.66386902667402,25.0557,39.9411,-1.27033296875,-2.85348,39.9411,15.349298927981836,34.1978975,67.58324,3.173209609375,3.1052599999999995,67.58324,27.13321239756233
circle,0.3979025000000001,1.4199700000000002,1.0055278906249998,1.012485,1.4199700000000002,0.221351968394132,0.3510900000000001,0.51442,0.07509859375,0.12976500000000002,0.51442,0.22019597315777026,0.105655,0.43776,0.254527734375,0.245005,0.43776,0.07216885349233555,23.262735,52.33162,-8.550964296875,-8.724475,52.33162,21.529870269592518,22.724845000000002,39.9411,0.173335234375,-0.25559,39.9411,14.182894951806876,29.637290000000004,67.58324,2.032759609375,-3.254035,67.58324,26.675072241363182
circle,0.3988824999999999,1.34135,0.9874453125,0.988925,1.34135,0.21564161495384496,0.34760749999999996,0.44069,0.087565234375,0.14343499999999998,0.44069,0.2086448502538346,0.07947500000000003,0.42067,0.266260859375,0.264045,0.42067,0.05750410528860288,16.045112500000002,32.89132,-5.812822578124999,-8.1637,32.89132,12.976415046708011,25.770970000000002,27.3751,-1.830872421875,-5.432295,27.3751,15.111077734734135,28.548152500000004,43.25236,-0.12565046874999994,-4.764705,43.25236,19.972539992164315
circle,0.4105300000000002,1.39286,1.013519921875,1.0271350000000001,1.39286,0.2213374696677003,0.3637175,0.44069,0.070263359375,0.08288999999999999,0.44069,0.21240825098468008,0.1219525,0.47365,0.27734859375,0.272225,0.47365,0.08114413700260457,14.929275,30.89236,-7.950429296875,-8.831294999999999,30.89236,13.53849866375441,29.389325,30.72451,0.0915554687499999,-2.704705,30.72451,17.38639240555823,31.76786,41.85614,0.08476015625000022,3.2883699999999996,41.85614,21.64235804516389
circle,0.3813550000000001,1.39286,1.00482796875,0.9758600000000001,1.39286,0.21577704464171235,0.3815425,0.42482,0.054018046875,0.05774,0.42482,0.20765367685410496,0.14893,0.47365,0.281206640625,0.26502,0.47365,0.08735434114925743,25.81294,30.89236,-8.23886484375,-7.534260000000001,30.89236,16.866009965098492,28.719820000000002,30.72451,-0.64297484375,-2.00278,30.72451,17.657115404383106,27.436142500000006,41.85614,3.3745603125,5.9091450000000005,41.85614,21.091326488223892
circle,0.4120649999999999,1.38847,0.98955671875,0.9758600000000001,1.38847,0.2356503583572936,0.391735,0.386,0.03926953125,0.074465,0.386,0.23756331221532875,0.12787499999999996,0.4861,0.2928475,0.284555,0.4861,0.08036688041219156,23.40579,31.75451,-6.737080000000001,-5.41322,31.75451,17.819257154187635,26.829585,28.5577,-1.38745984375,-2.7123350000000004,28.5577,16.25667283727987,32.9371,43.06925,3.85445171875,3.81481,43.06925,21.227492997259887
circle,0.44417,1.38847,1.002877890625,1.01651,1.38847,0.2382061656444251,0.3657275,0.44313,0.051903984375,0.10595999999999998,0.44313,0.2310188266250578,0.0999775,0.4861,0.294953515625,0.28492,0.4861,0.07551375367886058,18.9825125,44.40443,-6.102569296875,-6.458480000000001,44.40443,16.491418346314962,21.7596975,28.5577,-1.070174609375,-0.198375,28.5577,14.553289167070238,37.4595625,46.70095,-0.4944955468750002,0.549335,46.70095,25.454188911176217
circle,0.3747025000000001,1.36601,1.015305,1.01944,1.36601,0.19801521183674245,0.31733500000000003,0.44313,0.058129843750000014,0.05688500000000001,0.44313,0.1922863271310212,0.09844750000000001,0.44996,0.302703359375,0.292005,0.44996,0.06442050212613487,17.85142,44.40443,-7.02015125,-7.713554999999999,44.40443,13.866354156680385,23.72433,24.80392,-0.24545921874999976,2.41096,24.80392,14.73551818670552,33.87555500000001,46.70095,-1.344602734375,-1.190225,46.70095,23.515498864271173
circle,0.40004,1.3748,0.9945659375,1.007235,1.3748,0.21954215467378604,0.38203000000000004,0.46144,0.04343921875,0.082885,0.46144,0.21854292994172714,0.1276275,0.45289,0.324318203125,0.31495,0.45289,0.07053572120778585,19.461275,26.71132,-5.0264340625,-3.72326,26.71132,14.998648567381801,27.2358625,31.82318,0.4847197656249996,-1.16352,31.82318,16.429872064999778,27.68983,60.00702,1.6828690624999996,-0.053405000000000015,60.00702,19.50740294727801
circle,0.4004025,1.45878,1.004614375,1.00052,1.45878,0.24129384130385895,0.37489,0.46144,0.0773609375,0.104495,0.46144,0.22193221890519546,0.15100000000000002,0.6128100000000001,0.347182109375,0.34034000000000003,0.6128100000000001,0.09547422697589276,22.387235,26.71132,-5.717809375,-5.653549999999999,26.71132,15.248994404935301,22.31475,31.82318,-0.9231850000000004,-1.8272950000000001,31.82318,15.222325261392806,35.01045000000001,60.00702,-2.0481375,-4.67696,60.00702,24.74983557966415
