Activity,acc_rh_x_mean,acc_rh_x_median,acc_rh_x_std,acc_rh_x_iqr,acc_rh_x_max,acc_rh_x_min,acc_rh_y_mean,acc_rh_y_median,acc_rh_y_std,acc_rh_y_iqr,acc_rh_y_max,acc_rh_y_min,acc_rh_z_mean,acc_rh_z_median,acc_rh_z_std,acc_rh_z_iqr,acc_rh_z_max,acc_rh_z_min,gyro_rh_x_mean,gyro_rh_x_median,gyro_rh_x_std,gyro_rh_x_iqr,gyro_rh_x_max,gyro_rh_x_min,gyro_rh_y_mean,gyro_rh_y_median,gyro_rh_y_std,gyro_rh_y_iqr,gyro_rh_y_max,gyro_rh_y_min,gyro_rh_z_mean,gyro_rh_z_median,gyro_rh_z_std,gyro_rh_z_iqr,gyro_rh_z_max,gyro_rh_z_min
circle,0.34752,0.33348,0.16463,0.16834,0.16755,0.16755,0.4416,0.5455,0.12073,0.1278,0.16516,0.16516,0.41491,0.56363,0.03402,0.04267,0.16086,0.16086,0.50589,0.29965,0.05026,0.02384,0.24399,0.24399,0.31757,0.33798,0.14956,0.15868,0.14514,0.14514,0.35554,0.15209,0.15805,0.16671,0.13911,0.13911
circle,0.52428,0.46412,0.17402,0.17739,0.23265,0.23265,0.38851,0.39143,0.12582,0.13989,0.16516,0.16516,0.45288,0.58607,0.10294,0.11422,0.23894,0.23894,0.32243,0.27334,0.06821,0.00532,0.2188,0.2188,0.5374,0.50697,0.19427,0.19495,0.18284,0.18284,0.36773,0.42887,0.20548,0.22431,0.12541,0.12541
circle,0.46536,0.28881,0.16485,0.1547,0.23265,0.23265,0.33866,0.32743,0.11939,0.15327,0.15292,0.15292,0.46608,0.5663,0.12105,0.15966,0.23894,0.23894,0.29767,0.32446,0.17449,0.18597,0.2188,0.2188,0.45341,0.55046,0.19959,0.18824,0.18284,0.18284,0.55841,0.51895,0.18983,0.14682,0.12541,0.12541
circle,0.36183,0.28881,0.19762,0.17859,0.2271,0.2271,0.29341,0.36999,0.15988,0.16093,0.12298,0.12298,0.50594,0.61989,0.10067,0.1242,0.25729,0.25729,0.42656,0.40806,0.20494,0.14601,0.22967,0.22967,0.36828,0.5065,0.17207,0.16929,0.15845,0.15845,0.58622,0.44696,0.19369,0.24522,0.13732,0.13732
circle,0.45214,0.42779,0.20184,0.20356,0.2271,0.2271,0.33218,0.45013,0.15102,0.1414,0.16704,0.16704,0.51315,0.62089,0.08653,0.07721,0.25729,0.25729,0.48102,0.36686,0.16253,0.0726,0.38906,0.38906,0.40456,0.66225,0.1386,0.11846,0.15845,0.15845,0.33416,0.33473,0.31375,0.32612,0.17296,0.17296
circle,0.53638,0.43781,0.13557,0.14953,0.19872,0.19872,0.35128,0.32525,0.09858,0.10507,0.16704,0.16704,0.53968,0.64033,0.05418,0.07463,0.20403,0.20403,0.40227,0.3174,0.07869,0.05382,0.38906,0.38906,0.49887,0.82392,0.14219,0.13816,0.1162,0.1162,0.28488,0.27494,0.25868,0.26201,0.17296,0.17296
circle,0.39579,0.39608,0.17106,0.16924,0.20983,0.20983,0.3062,0.39141,0.13413,0.15364,0.18117,0.18117,0.61369,0.70328,0.07201,0.12378,0.20835,0.20835,0.57338,0.47467,0.11485,0.08054,0.16612,0.16612,0.58236,0.60246,0.17548,0.17336,0.19521,0.19521,0.46036,0.31402,0.14484,0.15136,0.30353,0.30353
circle,0.46391,0.37312,0.20693,0.16952,0.31597,0.31597,0.41029,0.44641,0.13872,0.14828,0.18117,0.18117,0.69197,0.77293,0.14472,0.16315,0.44404,0.44404,0.51404,0.39859,0.12285,0.12911,0.16612,0.16612,0.42137,0.56133,0.15175,0.12402,0.19521,0.19521,0.24411,0.15511,0.29374,0.28231,0.30353,0.30353
circle,0.2731,0.13105,0.16966,0.15785,0.31597,0.31597,0.46006,0.39671,0.09704,0.11432,0.14934,0.14934,0.70237,0.77093,0.13954,0.15,0.44404,0.44404,0.61993,0.56127,0.2887,0.16232,0.23005,0.23005,0.62957,0.78799,0.07071,0.05743,0.12178,0.12178,0.21534,0.15248,0.44783,0.38989,0.45702,0.45702
circle,0.27252,0.20199,0.12947,0.14778,0.17804,0.17804,0.5661,0.62224,0.07316,0.08463,0.13465,0.13465,0.65557,0.76625,0.07094,0.09499,0.27816,0.27816,0.45672,0.41663,0.47333,0.30855,0.44472,0.44472,0.29222,0.60364,0.1213,0.0825,0.06707,0.06707,0.53208,0.22473,0.36573,0.28828,0.45702,0.45702
